IT01V_packetsRecieved_ellen ,IT01V_packetsRecieved_aadya ,IT01V_packetsLost_ellen ,IT01V_packetsLost_aadya ,IT01V_frameWidth_ellen ,IT01V_frameWidth_aadya ,IT01V_frameHeight_ellen ,IT01V_frameHeight_aadya ,IT01V_totalFreezesDuration_ellen ,IT01V_totalFreezesDuration_aadya ,IT01V_framesPerSecond_ellen ,IT01V_framesPerSecond_aadya ,IT01V_bytesReceived_in_bits/s_ellen ,IT01V_bytesReceived_in_bits/s_aadya ,IT01V_totalProcessingDelay_ellen ,IT01V_totalProcessingDelay_aadya ,IT01V_jitter_ellen   ,IT01V_jitter_aadya ,IT01V_jitterBufferDelay_ellen ,IT01V_jitterBufferDelay_aadya ,IT01V_codec_ellen ,IT01V_codec_aadya ,IT01V_timestamps_ellen ,IT01V_timestamps_aadya ,IT01A_bytesReceived_in_bits/s_ellen ,IT01A_bytesReceived_in_bits/s_aadya ,IT01A_jitterBufferDelay_ellen ,IT01A_jitterBufferDelay_aadya ,"IT01A_(dtx, fec):_ellen" ,"IT01A_(dtx, fec):_aadya" ,IT01A_timestamps_ellen ,IT01A_timestamps_aadya ,OT01V_packetsSent/s_ellen ,OT01V_packetsSent/s_aadya ,OT01V_bytesSent_in_bits/s_ellen ,OT01V_bytesSent_in_bits/s_aadya ,OT01V_frameWidth_ellen ,OT01V_frameWidth_aadya ,OT01V_framesPerSecond_ellen ,OT01V_framesPerSecond_aadya ,OT01V_totalPacketSendDelay_ellen ,OT01V_totalPacketSendDelay_aadya ,OT01V_totalPacketSendDelay/packetsSent_in_ms_ellen ,OT01V_totalPacketSendDelay/packetsSent_in_ms_aadya ,OT01V_qualityLimitationReason_ellen ,OT01V_qualityLimitationReason_aadya ,OT01V_qualityLimitationResolutionChanges_ellen ,OT01V_qualityLimitationResolutionChanges_aadya ,OT01V_timestamps_ellen ,OT01V_timestamps_aadya ,RIV_roundTripTime_ellen ,RIV_roundTripTime_aadya ,RIV_fractionLost_ellen ,RIV_fractionLost_aadya ,RIV_timestamps_ellen ,RIV_timestamps_aadya ,RIA_fractionLost_ellen ,RIA_fractionLost_aadya ,RIA_roundTripTime_ellen ,RIA_roundTripTime_aadya ,RIA_timestamps_ellen ,RIA_timestamps_aadya ,ROA_roundTripTime_ellen ,ROA_roundTripTime_aadya ,ROA_timestamps_ellen ,ROA_timestamps_aadya ,SV2_width_ellen ,SV2_width_aadya ,SV2_height_ellen ,SV2_height_aadya ,SV2_framesPerSecond_ellen ,SV2_framesPerSecond_aadya ,SV2_timestamps_ellen ,SV2_timestamps_aadya ,AP_totalPlayoutDelay_ellen ,AP_totalPlayoutDelay_aadya ,AP_timestamps_ellen ,AP_timestamps_aadya
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
-1                          ,-1                          ,-1                      ,-1                      ,-1                     ,-1                     ,-1                      ,-1                      ,-1                               ,-1                               ,-1                          ,-1                          ,-1                                  ,-1                                  ,-1                               ,-1                               ,-1                   ,-1                 ,-1                            ,-1                            ,-1                ,-1                ,-1                     ,-1                     ,-1                                  ,-1                                  ,-1                            ,-1                            ,-1                        ,-1                        ,-1                     ,-1                     ,-1                        ,-1                        ,-1                              ,-1                              ,-1                     ,-1                     ,-1                          ,-1                          ,-1                               ,-1                               ,-1                                                 ,-1                                                 ,-1                                  ,-1                                  ,-1                                             ,-1                                             ,-1                     ,-1                     ,-1                      ,-1                      ,-1                     ,-1                     ,-1                   ,-1                   ,-1                     ,-1                     ,-1                      ,-1                      ,-1                   ,-1                   ,-1                      ,-1                      ,-1                   ,-1                   ,-1              ,-1              ,-1               ,-1               ,-1                        ,-1                        ,-1                   ,-1                   ,-1                         ,-1                         ,-1                  ,-1
